,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
187,Dorian Finney-Smith,PF,30,BRK,64,52,28.5,3.2,7.7,.420,1.8,5.1,.352,1.4,2.6,.554,.537,0.5,0.7,.727,1.6,3.1,4.7,1.6,0.8,0.6,0.8,2.2,8.7,2024,10.3,.548,.661,.090,6.1,12.2,9.0,7.6,1.4,1.8,9.4,13.3,1.1,1.5,2.6,.069,-1.7,-0.1,-1.8,0.1
414,Doug McDermott,SF,32,IND,58,0,14.3,1.9,4.5,.432,1.5,3.6,.411,0.4,0.9,.520,.598,0.2,0.3,.579,0.2,0.8,1.0,1.2,0.2,0.0,0.5,1.0,5.5,2024,9.0,.600,.807,.073,1.2,6.2,3.7,10.8,0.8,0.2,9.5,15.0,0.5,0.2,0.7,.040,-1.5,-2.0,-3.5,-0.3
243,Draymond Green,PF,33,GSW,48,45,26.6,3.4,6.9,.485,0.9,2.4,.377,2.5,4.5,.541,.550,1.0,1.4,.754,1.4,5.9,7.3,5.9,0.8,0.8,2.4,3.0,8.6,2024,14.2,.574,.343,.196,5.5,23.7,14.7,28.6,1.5,2.8,23.9,15.6,1.1,1.8,2.9,.109,-0.8,2.8,2.0,1.3
181,Drew Eubanks,C,26,PHO,68,5,15.7,2.1,3.4,.623,0.0,0.0,1.000,2.1,3.4,.618,.630,1.0,1.3,.770,1.4,2.9,4.3,0.9,0.4,0.9,0.9,1.5,5.3,2024,14.9,.665,.013,.377,10.4,19.7,15.3,7.2,1.1,4.8,18.0,13.3,1.5,1.4,2.9,.130,-1.8,0.7,-1.1,0.2
503,Drew Peterson,PF,24,BOS,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2024,44.0,1.500,1.000,.000,0.0,0.0,0.0,58.3,0.0,0.0,0.0,14.5,0.0,0.0,0.0,.749,28.5,13.4,41.9,0.0
595,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,.455,0.8,1.9,.412,0.9,1.8,.500,.561,0.2,0.2,1.000,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3,2024,12.8,.576,.515,.061,5.1,7.0,6.0,15.0,3.4,2.2,12.9,13.2,0.1,0.2,0.3,.123,-1.8,3.2,1.4,0.1
547,Duncan Robinson,SF,29,MIA,63,31,28.5,4.7,10.3,.457,2.9,7.1,.405,1.8,3.2,.575,.597,1.2,1.4,.886,0.2,2.3,2.6,3.0,0.7,0.2,1.4,2.4,13.5,2024,12.8,.621,.691,.136,0.9,9.4,5.1,15.7,1.2,0.8,11.6,19.2,1.7,1.9,3.6,.097,0.0,-0.4,-0.4,0.7
539,Duop Reath,C,27,POR,60,20,18.2,3.5,7.3,.476,1.3,3.6,.369,2.2,3.7,.581,.567,1.0,1.4,.735,1.4,2.2,3.6,1.1,0.5,0.6,0.9,2.5,9.3,2024,15.3,.588,.494,.189,8.2,14.7,11.3,9.3,1.3,2.7,9.7,20.6,1.4,0.8,2.2,.096,-0.1,-0.8,-0.9,0.3
524,Dwight Powell,C,32,DAL,57,8,13.4,1.2,1.7,.687,0.0,0.0,.500,1.2,1.7,.691,.692,1.1,1.5,.726,1.5,1.8,3.3,1.4,0.4,0.3,0.5,1.8,3.5,2024,14.6,.728,.020,.848,12.1,14.9,13.5,12.4,1.4,2.2,17.6,9.3,2.1,0.8,2.9,.181,-0.9,0.8,-0.1,0.4
701,Dylan Windler,SF,27,ATL,15,0,5.2,0.7,1.5,.500,0.6,1.3,.474,0.1,0.2,.667,.705,0.0,0.0,,0.1,0.7,0.7,0.6,0.1,0.0,0.1,0.3,2.1,2024,14.7,.705,.864,.000,1.3,14.2,7.7,15.4,1.2,0.0,4.3,12.5,0.2,0.0,0.3,.156,1.4,0.1,1.5,0.1
149,Dyson Daniels,PG,20,NOP,52,15,21.9,2.2,4.9,.438,0.6,2.1,.291,1.5,2.8,.548,.500,0.6,1.0,.640,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5,2024,11.5,.518,.430,.195,5.0,13.4,9.3,15.1,3.1,1.8,15.8,12.6,0.4,1.9,2.3,.096,-2.2,2.6,0.4,0.7
55,Dāvis Bertāns,PF,31,CHO,35,0,14.0,1.8,4.9,.371,1.6,4.2,.377,0.2,0.7,.333,.532,0.8,0.9,.900,0.2,1.1,1.3,0.8,0.5,0.2,0.3,1.0,5.9,2024,11.5,.568,.859,.176,1.6,9.1,5.2,7.8,1.8,1.5,5.7,17.4,0.4,0.3,0.7,.066,-0.7,-0.6,-1.2,0.1
368,E.J. Liddell,PF,23,NOP,8,0,2.9,0.1,0.8,.167,0.0,0.6,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,2024,4.3,.291,.833,.333,0.0,23.7,12.0,5.1,4.3,8.6,22.5,16.7,-0.1,0.1,0.0,-0.086,-8.6,4.1,-4.5,0.0
43,Emoni Bates,SF,20,CLE,13,0,7.8,0.9,2.8,.324,0.7,2.2,.321,0.2,0.7,.333,.446,0.1,0.3,.250,0.1,0.8,0.8,0.5,0.1,0.2,0.2,0.4,2.6,2024,6.0,.439,.757,.108,1.1,10.8,6.0,9.2,0.5,1.8,4.9,17.6,-0.1,0.1,0.0,-0.005,-3.1,-1.8,-5.0,-0.1
